"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04210","Apoptosis","31/1084","136/7993",0.00214449248018124,0.0165739456002002,0.0131534882897156,"5293/356/7185/472/332/4001/1677/330/153090/1521/1512/841/8797/4616/7124/79861/597/10376/836/142/835/7132/4000/1520/3710/5366/3551/843/84790/5894/1514",31
"hsa05140","Leishmaniasis","20/1084","76/7993",0.00219591708267636,0.0165739456002002,0.0131534882897156,"5777/5579/653361/3112/1378/1536/3676/7042/3109/3689/3688/7124/4689/3684/3553/3111/3592/3115/3119/51135",20
"hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","22/1084","88/7993",0.00274345221333748,0.0202249849215809,0.0160510423252792,"5777/3932/916/917/919/5293/7535/915/5133/10538/27040/3091/6774/10125/920/54106/116071/4794/3551/5781/940/5894",22
"hsa05100","Bacterial invasion of epithelial cells","19/1084","73/7993",0.00320587555595122,0.0230968761644668,0.0183302454036445,"5293/23157/1495/1731/26084/9564/3059/6464/5829/4735/3688/3678/7414/5879/2017/1793/2335/387/55752",19
"hsa04530","Tight junction","36/1084","169/7993",0.00340788974756153,0.024006689999489,0.0190522958986481,"7454/911/7074/81/24146/23370/3059/913/3688/5516/7122/1741/2064/909/8531/79861/10376/79784/4478/9368/5518/2626/154810/5566/5879/9414/2017/4633/87/103910/910/1366/84790/9075/387/3996",36
"hsa05165","Human papillomavirus infection","62/1084","330/7993",0.00405348403699217,0.0279337921679678,0.0221689401565476,"7015/6932/890/1869/3695/5293/356/5649/472/1282/9586/63923/3676/5933/7143/1284/841/5829/245972/3688/7058/7475/7124/535/9134/3678/1452/3685/5516/1741/55012/3690/9368/836/4242/3696/5518/51384/7132/22801/5566/3134/3066/3694/1293/64764/1857/7472/7148/3672/3551/3675/7476/3135/8313/3913/83439/8326/5700/5894/2335/3996",62
"hsa04390","Hippo signaling pathway","33/1084","156/7993",0.00550177323052648,0.0371077045548275,0.0294495812339491,"6932/353500/332/151449/1495/330/7042/7005/7533/3689/7475/7532/5516/1741/7161/7003/5518/51384/1857/7472/10971/7004/286204/7531/7476/8313/10413/7159/83439/8326/25937/26524/3996",33
"hsa03030","DNA replication","11/1084","36/7993",0.00639925148783186,0.0422617233675562,0.0335399365261363,"5984/1763/5557/5558/4174/3978/4171/4173/4176/10535/57804",11
"hsa03440","Homologous recombination","12/1084","41/7993",0.00656525205599905,0.0424731612602388,0.0337077388052368,"7516/641/5888/83990/472/146956/8438/675/25788/8940/57804/11073",12
"hsa05163","Human cytomegalovirus infection","44/1084","225/7993",0.0069527548538105,0.0440804657731585,0.0349833349486465,"5579/2185/1870/1869/5880/5293/356/5330/2788/9138/9586/7188/9564/6774/841/3587/5829/2767/115004/7124/3685/2793/3690/836/7132/7852/5566/3569/3134/5879/113/3710/64764/3553/54331/2783/3551/1234/3135/55970/3554/3570/5894/387",44
"hsa05145","Toxoplasmosis","25/1084","112/7993",0.00729466817512922,0.0453413688532541,0.0359840184490378,"3112/23533/959/330/7042/3109/4261/6774/5294/841/3587/3688/23643/7124/836/7132/240/3551/3111/1234/3592/3115/3913/3119/51135",25
"hsa04611","Platelet activation","27/1084","124/7993",0.00768193488611791,0.0468302569019111,0.0371656363923518,"10235/695/5293/5336/5330/54518/23533/9138/3937/6850/9002/64805/5294/83706/2815/3688/10125/2811/3690/5566/113/3710/283748/103910/2814/1281/387",27
"hsa05203","Viral carcinogenesis","40/1084","202/7993",0.0079012879181381,0.0472586466047128,0.0375056169301888,"890/5293/7185/81/3718/9586/7188/6850/5933/6774/7533/841/5829/245972/983/1111/7532/9134/836/2934/83933/5566/3134/3066/5879/6502/64764/4055/5366/10971/1234/7531/3135/5922/9759/87/9734/1642/5700/387",40
"hsa00562","Inositol phosphate metabolism","18/1084","74/7993",0.00864378376023959,0.0499257082417768,0.0396222622274104,"5293/5336/5330/5305/3635/54928/5294/80271/3631/8394/22876/8898/8871/3707/5298/5286/9896/27124",18
"hsa05142","Chagas disease (American trypanosomiasis)","23/1084","102/7993",0.00866218912712216,0.0499257082417768,0.0396222622274104,"916/917/919/5293/356/5330/915/10333/7042/841/2767/7124/54106/5516/5518/7132/3569/3553/3558/3551/3592/9630/51135",23
"hsa03460","Fanconi anemia pathway","14/1084","53/7993",0.0092899022819798,0.0525874825604928,0.0417347113795709,"2177/641/5888/83990/146956/2175/55215/2189/116028/2187/2188/675/29089/8940",14
"hsa05205","Proteoglycans in cancer","40/1084","205/7993",0.0101301526104559,0.0560663382013652,0.0444956162381746,"5777/5579/5293/5336/356/7409/7074/9138/3091/7042/6385/6774/3059/5829/3688/7475/967/7124/3678/3685/2064/4478/3690/836/51384/286/5566/5879/3710/7472/5781/7476/2017/4660/8326/5894/3479/2335/387/1514",40
"hsa05222","Small cell lung cancer","21/1084","92/7993",0.0102581943712277,0.0560663382013652,0.0444956162381746,"1870/1869/5293/7185/1282/330/7188/1284/4616/3688/9134/3685/1164/836/6502/3551/3675/1643/3913/4149/2335",21
"hsa04520","Adherens junction","17/1084","70/7993",0.0107141337727631,0.0575657695926424,0.0456856016358676,"5777/6932/7454/5880/81/1495/1500/5819/2064/7414/7525/5879/10458/87/5797/83439/387",17
"hsa05133","Pertussis","18/1084","76/7993",0.0114611870689949,0.0605532716811897,0.0480565563068382,"3394/834/3689/3688/23643/29108/7124/3678/3684/836/3569/3553/51561/722/727/3592/387/51135",18
"hsa04612","Antigen processing and presentation","18/1084","78/7993",0.0149613945322568,0.0766220415091348,0.0608091247573741,"3112/3109/4261/926/7124/3309/920/3824/925/3134/1520/5993/3111/3135/10437/3115/3119/1514",18
"hsa04015","Rap1 signaling pathway","40/1084","210/7993",0.0149860144276541,0.0766220415091348,0.0608091247573741,"10235/5579/3683/5880/5293/7409/5330/8631/54518/7074/1500/6494/3937/27040/51466/135/2533/9002/9564/10636/1942/57568/3689/3688/5909/3684/3690/9170/260425/5879/113/55740/57121/5155/285/2324/5894/3479/387/1946",40
"hsa05221","Acute myeloid leukemia","16/1084","67/7993",0.0153355501985965,0.0771645938564298,0.0612397075599759,"6932/890/5293/3728/6774/3684/597/3551/5467/2322/4353/83439/1053/5894/6688/5914",16
"hsa05134","Legionellosis","14/1084","57/7993",0.0177385282433886,0.0869185273979372,0.0689806676012187,"1378/834/841/3689/29108/7124/3684/375/836/3569/3606/3553/3592/5861",14
"hsa04216","Ferroptosis","11/1084","41/7993",0.0178224109806496,0.0869185273979372,0.0689806676012187,"23516/1536/23305/23657/7018/30061/2182/6303/2730/5621/6520",11
"hsa05143","African trypanosomiasis","10/1084","36/7993",0.0183785924219305,0.0882729363295752,0.0700555596306441,"5579/356/5330/7124/54106/3569/3606/3553/3592/2150",10
"hsa04918","Thyroid hormone synthesis","17/1084","75/7993",0.0210141936465282,0.0994253639693944,0.0789063987670107,"5579/5330/9586/478/483/3309/5566/476/113/3710/64764/7253/433/7038/7173/50506/53905",17
