"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez"
"ENSG00000180785.8",62.3933449459533,1.17188559740039,0.392290658889373,2.98728906958465,0.00281463447332473,0.0194627938950404,"OR51E1","143503"
"ENSG00000156639.7",4257.2134604358,0.432070961566933,0.144647311168869,2.98706528365751,0.00281669566610367,0.0194724671847189,"ZFAND3","60685"
"ENSG00000229832.1",21.2740123064704,-1.14244721282738,0.382472557858208,-2.98700439902125,0.0028172566859158,0.0194724671847189,NA,NA
"ENSG00000166710.13",118409.087093427,-0.656824219370253,0.219901792063391,-2.98689798390051,0.00281823749016637,0.0194750181760227,"B2M","567"
"ENSG00000180139.10",429.973202443189,-1.48289151021505,0.496484078081878,-2.98678563055652,0.00281927336407137,0.0194779485283368,"ACTA2-AS1","100132116"
"ENSG00000256667.2",342.537161164802,-0.712862960359059,0.238696217418776,-2.98648620438082,0.00282203570786658,0.0194928029498027,NA,NA
"ENSG00000161149.7",13.601914215883,-1.32631003421856,0.444246580375741,-2.98552671603409,0.00283090408511295,0.0195498183196651,"TUBA3FP","113691"
"ENSG00000235947.1",13.8323138836607,-1.71983461543085,0.576075734122039,-2.98543145208492,0.00283178597984721,0.0195516674158351,"EGOT","100126791"
"ENSG00000126698.6",3675.05622421464,0.299189190775357,0.100226211801662,2.98513917065351,0.00283449330636915,0.0195661164140434,"DNAJC8","22826"
"ENSG00000187957.7",22.8467997902324,-1.36536940985352,0.457401912446099,-2.98505400327642,0.00283528263407231,0.0195673223365112,"DNER","92737"
"ENSG00000259490.2",2.55158085040432,-3.48325226357492,1.16704638507877,-2.98467336698003,0.00283881280892216,0.0195874392251508,NA,NA
"ENSG00000056050.6",771.185009084063,0.382185781776617,0.128069110237452,2.984215171543,0.00284306762156938,0.0196125462189128,"HPF1","54969"
"ENSG00000081870.7",1957.84015273868,0.523619041619252,0.175479974020979,2.98392477284418,0.00284576728383386,0.0196269166482094,"HSPB11","51668"
"ENSG00000151348.9",3745.74994752719,0.360182260069375,0.120714768559096,2.98374643275772,0.00284742636433028,0.0196341056389038,"EXT2","2132"
"ENSG00000206082.8",3.61481752697216,-1.79834365732745,0.602729316516485,-2.98366714219428,0.0028481642802992,0.0196349411060211,NA,NA
"ENSG00000187554.7",414.802526676728,-1.06892017315219,0.35828351764945,-2.98344780179935,0.00285020647672244,0.0196447658352318,"TLR5","7100"
"ENSG00000159784.13",90.5048223628943,-0.746468486971491,0.250236490260581,-2.98305209681515,0.00285389411976859,0.0196632520466498,"FAM131B","9715"
"ENSG00000118596.7",169.467447889254,-0.705298193198716,0.236437043605306,-2.98302745815118,0.00285412387572461,0.0196632520466498,"SLC16A7","9194"
"ENSG00000154639.14",1460.5422968919,0.615845603515095,0.206487341556382,2.98248599102109,0.00285917733123007,0.0196938056073216,"CXADR","1525"
"ENSG00000147684.3",3698.56216249566,0.624123032520602,0.209309073826261,2.98182501652395,0.00286535720795331,0.0197304527899435,"NDUFB9","4715"
"ENSG00000170382.7",880.105503986814,-0.934825364117193,0.313512057857662,-2.98178440250491,0.0028657373319732,0.0197304527899435,"LRRN2","10446"
"ENSG00000188001.5",173.608968914087,-0.760093255126614,0.25494826659497,-2.98136271047552,0.00286968684990496,0.0197533730926647,"TPRG1","285386"
"ENSG00000197982.12",1776.23950761731,0.668356981438097,0.224193998957103,2.98115464529441,0.00287163739410518,0.0197588808320828,"C1orf122","127687"
"ENSG00000229314.4",34.2126867743615,-2.28580685069864,0.766757717828179,-2.98113315008179,0.00287183897377732,0.0197588808320828,"ORM1","5004"
"ENSG00000132010.11",372.917079981868,0.403621673687395,0.135394501042326,2.9810787777948,0.00287234892859904,0.0197588808320828,"ZNF20","7568"
"ENSG00000087995.11",435.815441864612,0.365382749505396,0.122576579663242,2.98085287180651,0.00287446857434027,0.0197691902209325,"METTL2A","339175"
"ENSG00000150045.7",57.7702975331236,-1.10632597960827,0.371183764760799,-2.98053440004635,0.00287745917785377,0.0197854838846982,"KLRF1","51348"
"ENSG00000165702.8",3.58210353199844,-2.10834032935599,0.707469492370026,-2.98011483476559,0.00288140343416417,0.0198083264370656,"GFI1B","8328"
"ENSG00000231852.2",146.327450892259,-1.17276777921298,0.393559433848663,-2.9799000566302,0.00288342443336133,0.0198142473634327,"CYP21A2","1589"
"ENSG00000239736.2",3.73976847106694,-4.59397626628716,1.54167574218287,-2.97985895515391,0.00288381133365959,0.0198142473634327,NA,NA
"ENSG00000124164.11",5406.65915870544,0.466131412750634,0.156429128305841,2.97982490728505,0.00288413187216193,0.0198142473634327,"VAPB","9217"
"ENSG00000228343.1",159.408976097601,-0.598500211460168,0.20090376607598,-2.97903928408103,0.00289153704165768,0.0198607426156172,NA,NA
"ENSG00000237352.2",5.10519699265772,-2.06083541802097,0.691793547069473,-2.97897461858518,0.00289214734156305,0.0198607426156172,NA,NA
"ENSG00000160062.10",789.530018772977,0.454940701989397,0.15273268597876,2.97867283007557,0.00289499711575326,0.0198760250543716,"ZBTB8A","653121"
"ENSG00000228599.1",2.73626817010882,-1.99700304928264,0.670569536813286,-2.97807004292635,0.0029006968793954,0.0199108637025511,NA,NA
"ENSG00000272341.1",825.290652952133,-0.760094381560128,0.255237935470865,-2.97798358287885,0.00290151525753911,0.0199121879152867,NA,NA
"ENSG00000013561.13",2727.11577483911,0.341097663753602,0.11454688808846,2.97779947972212,0.00290325856806613,0.0199198577096882,"RNF14","9604"
